location_set_version_id,location_set_id,location_id,ihme_loc_id,location_name,level,parent_id,path_to_top_parent,region_id,region_name,super_region_id,super_region_name,sort_order,location_ascii_name,location_name_short,location_type_id,location_type,is_estimate,most_detailed,lancet_label,local_id,developed,start_date,end_date,date_inserted,last_updated
714,35,44984,RUS_44984,Magadan oblast,4,62,"1,31,56,62,44984",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",80,Magadan oblast,Magadan,4,admin2,1,1,Magadan oblast,1144,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44920,RUS_44920,Moscow City,4,62,"1,31,56,62,44920",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",81,Moscow City,Moscow City,4,admin2,1,1,"Moscow, city of",1145,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44912,RUS_44912,Moscow oblast,4,62,"1,31,56,62,44912",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",82,Moscow oblast,Moskva,4,admin2,1,1,Moscow oblast,1146,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44928,RUS_44928,Murmansk oblast,4,62,"1,31,56,62,44928",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",83,Murmansk oblast,Murmansk,4,admin2,1,1,Murmansk oblast,1147,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44923,RUS_44923,Nenets autonomous district,4,62,"1,31,56,62,44923",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",84,Nenets autonomous district,Nenets,4,admin2,1,1,Nenets autonomous district,111,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44955,RUS_44955,Nizhny Novgorod oblast,4,62,"1,31,56,62,44955",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",85,Nizhny Novgorod oblast,Nizhny,4,admin2,1,1,Nizhny Novgorod oblast,1122,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44929,RUS_44929,Novgorod oblast,4,62,"1,31,56,62,44929",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",86,Novgorod oblast,Novgorod,4,admin2,1,1,Novgorod oblast,1149,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44976,RUS_44976,Novosibirsk oblast,4,62,"1,31,56,62,44976",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",87,Novosibirsk oblast,Novosibirsk,4,admin2,1,1,Novosibirsk oblast,1150,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44977,RUS_44977,Omsk oblast,4,62,"1,31,56,62,44977",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",88,Omsk oblast,Omsk,4,admin2,1,1,Omsk oblast,1152,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44956,RUS_44956,Orenburg oblast,4,62,"1,31,56,62,44956",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",89,Orenburg oblast,Orenburg,4,admin2,1,1,Orenburg oblast,1153,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
